companyName,aliases,region,country,city,legalEntity,registeredCapital,businessScope,categories,tier,lifecycleStatus,website,financingSummary,confidence,scopeStatus,discoveryRound,seeded,strongEvidenceCount,weakEvidenceCount,validationStatus,missingFields,primaryEvidenceUrl,evidenceCount
深圳市保身欣科技电子有限公司,,China,CN,深圳,,not_checked_or_not_disclosed,,remote_patient_monitoring,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,4,0,validated_official_product,businessScope; financing; legalEntity; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0692048530807820260512095841386,4
深圳市埃微医疗信息技术有限公司,,China,CN,深圳,深圳市埃微医疗信息技术有限公司,not_checked_or_not_disclosed,粤械注准20262070254; 穿戴式心电传感器,clinical_workflow; remote_patient_monitoring; samd,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,12,0,validated_official_product,financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697996622005720260407052252779,12
深圳市安普康科技有限公司,,China,CN,深圳,,not_checked_or_not_disclosed,,remote_patient_monitoring,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,93,0,validated_official_product,businessScope; financing; legalEntity; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0694672552335320260512092607521,93
深圳市宝润科技有限公司,,China,CN,深圳,深圳市宝润科技有限公司,not_checked_or_not_disclosed,粤械注准20262060267; 产品主要由X射线发生装置（组合机头）（BWG-25-2AS-PR-D）、限束器（BRC-11或BRC-12，选配）、平板探测器（BRF 2121B-3或BRF 3040B-3或BRF 2121C-5或BRF 3030C-3）、图像处理软件（DMOC(V02)，选配）、移动C形臂机架（MC-02）、移动工作站小车（MWC-02）、滤线栅（BWG-006或BWG-007或BWG-008，选配）、图像采集工作站（BWS-350）组成。,samd,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,16,0,validated_official_product,financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697442622248020260318030714128,16
深圳市理邦精密仪器股份有限公司,,China,CN,深圳,深圳市理邦精密仪器股份有限公司,not_checked_or_not_disclosed,粤械注准20232072162; 产品注册证结构组成：由记录仪(含主机、嵌入式软件和可充电电池)、USB数据线、心电导联线、中央充电站 (含电源线)、蓝牙接收盒 (只适用于静态心电和运动心电采集)组成。 产品注册证适用范围：与心电工作站、动态心电图工作站、心电网络数据管理软件配套，供医疗机构对受检者进行心电图信息采集、浏览、存储，可用于动态心电检测、心电远程监测、静态心电采集、运动心电试验。本产品不具备分析诊断功能。,clinical_workflow; remote_patient_monitoring; samd,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,24,0,validated_official_product,financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=069444138319332023122702190811,24
深圳市资福医疗技术有限公司,,China,CN,深圳,深圳市资福医疗技术有限公司,not_checked_or_not_disclosed,国械注准20263060447; 图像分析软件，发布版本：V1,samd,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,6,0,validated_official_product,financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697169084049520260414040017392,6
深圳迈瑞生物医疗电子股份有限公司,,China,CN,深圳,深圳迈瑞生物医疗电子股份有限公司,not_checked_or_not_disclosed,粤械注准20152061096; 移动式X射线机,,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,32,0,validated_official_product,financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=069030530816962026011502474526,32
深圳麦科田生物医疗技术股份有限公司,,China,CN,深圳,深圳麦科田生物医疗技术股份有限公司,not_checked_or_not_disclosed,粤械注准20212211668; 通过有线或无线网络获取监护设备的生命体征信息、输注设备的输注信息，供医疗机构对患者的生命体征、输注信息进行集中监护和管理。,samd,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,8,0,validated_official_product,financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0692680261465520260509060024941,8
瑞海胜（厦门）康复用品有限公司,,China,CN,,瑞海胜（厦门）康复用品有限公司,not_checked_or_not_disclosed,闽厦械备20260029; SY1IV100-ICON60/WBDE-F40R11 手动轮椅车,rehabilitation,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,needs_city_verification,round1,no,54,0,needs_city_verification,city; financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=06975872081720202603040234192,54
纳龙健康科技股份有限公司,,China,CN,,纳龙健康科技股份有限公司,not_checked_or_not_disclosed,闽械注准20182210079; 影像档案传输处理系统软件,remote_patient_monitoring; samd,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,needs_city_verification,round1,no,12,0,needs_city_verification,city; financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697614113017020260424042209895,12
